Timestamp,Sender_ID,Receiver_ID,Amount,Location,Device_ID,Transaction_Type,Fraud_Label
2025-03-29 21:27:00,25471645902,254725507820,7106,Kisumu,92ba5452-ae93-4a42-bc22-1ae069f5af76,Send Money,0
2025-03-29 11:05:00,254761195883,254719710033,6470,Nairobi,469c96ef-9390-45bb-8ac6-ad448d44982c,Send Money,0
2025-03-28 14:40:00,254746310147,254773367924,7031,Kisumu,47b1cdaf-5cf2-4339-9e29-70f086628510,Send Money,0
2025-03-28 07:26:00,254736124581,25471972739,1116,Kisumu,879efc8a-5474-4712-b37b-7514e167dbe5,Send Money,0
2025-03-29 11:13:00,254726227469,254772252369,4827,Kisumu,1e5a1400-f5da-4593-a620-66015e5f445c,Send Money,0
2025-03-29 05:43:00,254763746157,2547165467,5014,Mombasa,f3c8b40b-a989-409b-ab36-ab39d2b30cea,Send Money,0
2025-03-28 21:17:00,254787887479,254776174640,4720,Mombasa,72b71719-fe5f-443c-a16d-42ff1cd1b5f0,Send Money,0
2025-03-29 09:11:00,254762231651,254757308422,4347,Nairobi,ac1c848a-1890-41cf-9356-21b79e782cdb,Send Money,0
2025-03-28 17:47:00,254762347853,254736832384,9554,Kisumu,80cb5022-e805-4e51-b334-acaa86ef65c1,Send Money,0
2025-03-29 02:17:00,254799962511,254755006233,5513,Kisumu,b66b3677-ac2c-4e67-b3e9-74302ad51f80,Send Money,0
2025-03-28 16:51:00,254736349338,254795475378,8734,Nairobi,b5b45b13-a542-47e0-a23a-d9870c84464e,Send Money,0
2025-03-29 13:54:00,25475462646,254782192927,6337,Nairobi,bbb9c56e-4acf-460a-9b02-c992c649b05c,Send Money,0
2025-03-28 12:53:00,254771189183,254715935316,5370,Nakuru,47048d31-b41e-4f02-b706-a24358db519a,Send Money,0
2025-03-29 21:26:00,254735265998,254734077336,7833,Mombasa,8b6aaca1-e2a4-46d6-83ca-94fac499ad6d,Send Money,0
2025-03-29 06:14:00,254787648220,254771434406,901,Kisumu,54439fbb-fe9c-4b6e-a0bb-f56a0994b93b,Send Money,0
2025-03-29 20:08:00,254743808174,254764920346,8716,Nairobi,b1fab268-1c27-43e9-8dc8-299311323bc9,Send Money,0
2025-03-29 16:26:00,254735904527,254763188206,7723,Mombasa,fbc776df-4452-4f38-89e7-a9f0ff2a7c18,Send Money,0
2025-03-28 20:01:00,254771690358,25475019781,2230,Mombasa,394abe6c-051b-4c8a-ae79-bbb63360a41f,Send Money,0
