Timestamp,Sender_ID,Receiver_ID,Amount,Location,Device_ID,Transaction_Type,Fraud_Label,Rolling_Count_1h,Time_Delta,Rapid_Transaction,Avg_Amount,Max_Amount,Min_Amount,Location_Change,Unique_Devices,Send_Money_Ratio,Hour_of_Day
2025-02-08 17:48:37,25474373,254756463482,910,Eldoret,52773608-4352-428d-8695-e2c17e1e941d,Withdraw,0,1.0,0.0,1,910.0,910,910,True,1,0.0,17
2025-03-28 11:00:00,254799416,254728125617,5138,Nakuru,717c7d92-6128-480d-9767-5925e58b69d4,Send Money,0,1.0,0.0,1,5138.0,5138,5138,True,1,1.0,11
2025-03-01 22:05:16,2547108503,254798025182,351,Mombasa,91830e71-7057-4f07-ac63-0e84c0ec53d8,Buy Goods,0,1.0,0.0,1,351.0,351,351,True,1,0.0,22
2025-03-03 12:11:54,2547116938,254712244038,7021,Mombasa,6a0263fc-d763-4cb8-90d6-b4e1f1ae0bac,Send Money,0,1.0,0.0,1,7021.0,7021,7021,True,1,1.0,12
2025-02-13 14:24:36,2547188623,254780511400,9141,Kisumu,d68b2c5c-7453-421f-a42a-4a7e8326b74d,Pay Bill,0,1.0,0.0,1,9141.0,9141,9141,True,1,0.0,14
2025-02-01 09:43:05,2547328780,254730191221,8170,Nairobi,813e9f8e-8185-46d9-8af6-cfd2948a3a6a,Send Money,0,1.0,0.0,1,8170.0,8170,8170,True,1,1.0,9
2025-01-31 16:23:56,2547364945,254736093531,352,Eldoret,9c0888bc-d797-4882-86d4-19421a4c732f,Send Money,0,1.0,0.0,1,352.0,352,352,True,1,1.0,16
2025-02-27 13:28:51,2547412863,254721982626,1852,Eldoret,9f46bff5-b8a6-444b-88ed-f85881972557,Send Money,0,1.0,0.0,1,1852.0,1852,1852,True,1,1.0,13
2025-02-01 04:08:22,2547433890,254742573582,3059,Nakuru,2943b287-0750-4f7e-8761-04c155cdba60,Send Money,0,1.0,0.0,1,3059.0,3059,3059,True,1,1.0,4
2025-03-03 11:04:25,2547620927,25471509,2640,Nairobi,62b894f1-aad4-4a7a-beed-bd0f7f66810b,Buy Goods,0,1.0,0.0,1,2640.0,2640,2640,True,1,0.0,11
2025-02-25 15:15:19,2547645062,254754768327,4549,Kisumu,5b7e201a-7122-4e7e-abdd-cc2ff52c9faf,Buy Goods,0,1.0,0.0,1,4549.0,4549,4549,True,1,0.0,15
2025-03-28 04:06:00,2547753413,254754379464,4129,Mombasa,7f7df262-3798-4bc0-a75c-714f789e0360,Send Money,0,1.0,0.0,1,4129.0,4129,4129,True,1,1.0,4
2025-01-28 20:37:21,2547759357,254782542157,6319,Eldoret,e960328a-0513-4e2a-b425-4c6f525f35cc,Send Money,0,1.0,0.0,1,6319.0,6319,6319,True,1,1.0,20
2025-02-27 16:34:10,2547844353,25474415186,7407,Eldoret,cf706b20-723e-4a00-a4d5-ec4f634ccf7c,Pay Bill,0,1.0,0.0,1,7407.0,7407,7407,True,1,0.0,16
2025-01-29 12:26:54,2547855669,254755120342,6088,Mombasa,73d3ebc6-c2cc-482e-9088-ab3be96c0032,Send Money,0,1.0,0.0,1,6088.0,6088,6088,True,1,1.0,12
2025-03-28 23:07:00,2547875399,254730955040,4225,Nairobi,d568781c-41f5-4ad8-b6c1-54307b4272ed,Send Money,0,1.0,0.0,1,4225.0,4225,4225,True,1,1.0,23
2025-03-09 11:54:25,2547920448,25477961920,6991,Nakuru,d2feebe5-9570-44b7-a264-642f13ed5bd9,Buy Goods,0,1.0,0.0,1,6991.0,6991,6991,True,1,0.0,11
2025-02-15 00:29:26,25471080969,254785457426,7737,Mombasa,1c239d5c-8d85-4f0c-b5f1-42afbd2965e9,Buy Goods,0,1.0,0.0,1,7737.0,7737,7737,True,1,0.0,0
2025-02-10 14:14:00,25471148137,254771775805,9017,Mombasa,2d398b07-9a62-4a42-92a4-cf7d8f07ac42,Pay Bill,0,1.0,0.0,1,9017.0,9017,9017,True,1,0.0,14
2025-03-03 03:40:26,25471189694,254758161218,716,Nairobi,341297ea-2e85-421a-a78d-6ec2330d59b7,Buy Goods,0,1.0,0.0,1,716.0,716,716,True,1,0.0,3
2025-01-27 12:48:06,25471191762,254773879129,6152,Nakuru,8c3e86ad-11a7-4a96-b8c3-d7630913010b,Send Money,0,1.0,0.0,1,6152.0,6152,6152,True,1,1.0,12
2025-03-29 18:43:00,25471442910,254755663727,8060,Kisumu,36d6a9de-d908-46ae-ba86-9042e397ad04,Send Money,0,1.0,0.0,1,8060.0,8060,8060,True,1,1.0,18
2025-02-07 22:24:21,25471555811,254782352229,9112,Eldoret,38acca40-f87a-4fee-b155-cc7d21e26672,Send Money,0,1.0,0.0,1,9112.0,9112,9112,True,1,1.0,22
2025-03-29 05:50:00,25471635387,254736651404,9258,Mombasa,c869699d-08f3-4be7-a1f5-62a6b11a0cba,Send Money,0,1.0,0.0,1,9258.0,9258,9258,True,1,1.0,5
2025-03-29 21:27:00,25471645902,254725507820,7106,Kisumu,92ba5452-ae93-4a42-bc22-1ae069f5af76,Send Money,0,1.0,0.0,1,7106.0,7106,7106,True,1,1.0,21
2025-02-19 10:33:45,25471671318,254744313804,5829,Nairobi,59a24fed-f9ef-4e7c-a8f3-38e199ab82ae,Withdraw,0,1.0,0.0,1,5829.0,5829,5829,True,1,0.0,10
2025-03-07 15:14:20,25471930191,254789476042,7265,Nairobi,3fb0dac9-4783-41b2-a0b9-78ce6fc15afd,Pay Bill,0,1.0,0.0,1,7265.0,7265,7265,True,1,0.0,15
2025-03-29 13:59:00,25472004761,254755143908,1415,Mombasa,003e8bb6-6338-434b-8a60-62f9251baec7,Send Money,0,1.0,0.0,1,1415.0,1415,1415,True,1,1.0,13
2025-03-29 00:07:00,25472152402,254774361944,3868,Mombasa,f3d33d70-0ea9-4fc7-a0c0-c8117b721a86,Send Money,0,1.0,0.0,1,3868.0,3868,3868,True,1,1.0,0
2025-03-01 01:52:26,25472381508,254791681434,6534,Mombasa,3a7484dd-90c5-479d-a22a-7489d48aa0ac,Send Money,0,1.0,0.0,1,6534.0,6534,6534,True,1,1.0,1
2025-02-04 19:04:27,25472815067,254717026399,7054,Nairobi,46048b49-177d-442f-a6c6-0126bc0ea528,Pay Bill,0,1.0,0.0,1,7054.0,7054,7054,True,1,0.0,19
2025-03-28 15:29:00,25472839911,254735398470,5106,Kisumu,50c37028-9364-4ea8-8359-35b7f6a2be98,Send Money,0,1.0,0.0,1,5106.0,5106,5106,True,1,1.0,15
2025-03-05 03:12:45,25472949243,254793875448,9815,Nakuru,9c0be1ce-0a81-4de6-8150-fab47187366f,Withdraw,0,1.0,0.0,1,9815.0,9815,9815,True,1,0.0,3
2025-03-29 17:25:00,25473192693,254730223784,7236,Mombasa,9aa52f5a-f7e0-4b71-b349-c8be77b37f33,Send Money,0,1.0,0.0,1,7236.0,7236,7236,True,1,1.0,17
2025-03-02 05:47:50,25473266350,254788234404,3694,Mombasa,55ef6798-5e4e-4715-a2d4-4d40dea82bb7,Send Money,0,1.0,0.0,1,3694.0,3694,3694,True,1,1.0,5
2025-03-10 11:27:57,25473270198,25473677238,3806,Eldoret,5cb48056-2b92-4154-8209-9ffd9166bf48,Buy Goods,0,1.0,0.0,1,3806.0,3806,3806,True,1,0.0,11
2025-03-28 20:33:00,25473342201,254726779407,2888,Kisumu,f4f5eb56-33c8-42fa-95c9-78599582d508,Send Money,0,1.0,0.0,1,2888.0,2888,2888,True,1,1.0,20
2025-01-27 23:47:57,25473416002,254725453403,4518,Nairobi,7c14543d-500a-42d9-9000-374642ccf551,Send Money,0,1.0,0.0,1,4518.0,4518,4518,True,1,1.0,23
2025-03-29 03:29:00,25473438143,254737319919,968,Eldoret,b48966dd-4cab-4b6f-8913-6ebe5b392202,Send Money,0,1.0,0.0,1,968.0,968,968,True,1,1.0,3
2025-03-08 18:24:54,25473446508,254745725968,7604,Mombasa,c3dfe58f-97f6-4e67-9ca5-187699b70f65,Pay Bill,0,1.0,0.0,1,7604.0,7604,7604,True,1,0.0,18
2025-02-28 18:30:27,25473490721,254788849388,187,Nakuru,9b2870b9-61d1-44fd-8a48-f71bbdf5c24f,Buy Goods,0,1.0,0.0,1,187.0,187,187,True,1,0.0,18
2025-02-15 21:09:49,25473770664,254714413246,2921,Eldoret,ebfd8d93-1474-490d-86f8-17493a8c4765,Pay Bill,0,1.0,0.0,1,2921.0,2921,2921,True,1,0.0,21
2025-02-23 11:41:04,25474047866,254741603503,8741,Nairobi,cb2543d0-07e6-42e1-8a94-754495b8d486,Pay Bill,0,1.0,0.0,1,8741.0,8741,8741,True,1,0.0,11
2025-03-06 12:03:01,25474099048,254764948186,9938,Nakuru,972a9825-cea8-43fb-a553-2fdd916470cf,Buy Goods,0,1.0,0.0,1,9938.0,9938,9938,True,1,0.0,12
2025-03-09 07:44:19,25474164937,25471820874,3560,Nairobi,101800ad-59e2-4d61-bb7f-afe8b8a0dfb8,Pay Bill,0,1.0,0.0,1,3560.0,3560,3560,True,1,0.0,7
2025-02-09 20:30:35,25474299025,254734986919,2269,Kisumu,79489a1f-b5fa-467d-b020-6263a3fbbde3,Pay Bill,0,1.0,0.0,1,2269.0,2269,2269,True,1,0.0,20
2025-01-29 18:23:15,25474676432,254731534070,4482,Mombasa,5bf692ec-461e-4ffb-a0d5-f3090e59c100,Send Money,0,1.0,0.0,1,4482.0,4482,4482,True,1,1.0,18
2025-02-24 16:40:48,25474677067,254738407790,1119,Nakuru,e9522d0d-f36a-4aa3-a652-85c3be2a2acb,Buy Goods,0,1.0,0.0,1,1119.0,1119,1119,True,1,0.0,16
2025-02-03 21:51:41,25474947698,254797271986,5492,Nakuru,0b33893a-a9d1-48b3-a906-2c2841740cd8,Buy Goods,0,1.0,0.0,1,5492.0,5492,5492,True,1,0.0,21
2025-03-03 02:15:38,25475003750,254764741678,9758,Nakuru,bcd3fef3-2985-4ea8-8a40-925a129af600,Send Money,0,1.0,0.0,1,9758.0,9758,9758,True,1,1.0,2
2025-03-10 07:13:11,25475047202,25477430976,6931,Eldoret,1a098fb0-9e4f-4b68-a8c5-004699bfedde,Pay Bill,0,1.0,0.0,1,6931.0,6931,6931,True,1,0.0,7
2025-02-08 11:54:05,25475370004,254719738916,877,Nakuru,10aaf1cb-b84c-4eb1-a3ef-bd8bc20770d7,Send Money,0,1.0,0.0,1,877.0,877,877,True,1,1.0,11
2025-02-23 16:01:14,25475414446,254715370957,2206,Kisumu,c12c6729-6886-4e13-abc3-dce9cf93ec71,Pay Bill,0,1.0,0.0,1,2206.0,2206,2206,True,1,0.0,16
2025-02-04 08:23:28,25475438230,254782821034,8388,Nairobi,6ae73815-ff9b-4693-9d56-e1761565c785,Send Money,0,1.0,0.0,1,8388.0,8388,8388,True,1,1.0,8
2025-03-29 13:54:00,25475462646,254782192927,6337,Nairobi,bbb9c56e-4acf-460a-9b02-c992c649b05c,Send Money,0,1.0,0.0,1,6337.0,6337,6337,True,1,1.0,13
2025-01-25 11:29:34,25475471309,254740958094,211,Eldoret,068c1775-e368-455c-9286-0f4dc56be9d9,Send Money,0,1.0,0.0,1,211.0,211,211,True,1,1.0,11
2025-02-22 17:24:18,25475505141,254783377466,4196,Kisumu,9cf0a465-35fc-4617-bd3f-3762508a7611,Withdraw,0,1.0,0.0,1,4196.0,4196,4196,True,1,0.0,17
2025-02-07 14:59:45,25475527070,254775444333,972,Kisumu,c7e24d5c-6f40-49b6-8454-d256f03cbe2b,Send Money,0,1.0,0.0,1,972.0,972,972,True,1,1.0,14
2025-01-21 12:35:14,25475553981,25474614595,5795,Mombasa,7ef179c1-2664-4a19-86fb-39f94570fa00,Send Money,0,1.0,0.0,1,5795.0,5795,5795,True,1,1.0,12
2025-03-28 05:06:00,25475579930,254761505860,573,Nakuru,06db8ad6-2f74-4fc4-8aa2-7506b6aa9920,Send Money,0,1.0,0.0,1,573.0,573,573,True,1,1.0,5
2025-01-24 16:43:52,25475606604,254744382909,6666,Kisumu,2ec0c9a1-7ff8-4166-b4b1-5918b44fdbd8,Send Money,0,1.0,0.0,1,6666.0,6666,6666,True,1,1.0,16
2025-02-06 14:17:06,25475750244,254721765653,4834,Nakuru,46b4bc29-60a7-46ef-a2c6-04f7e13a77c2,Buy Goods,0,1.0,0.0,1,4834.0,4834,4834,True,1,0.0,14
2025-02-09 06:30:00,25475908294,25476012744,1217,Eldoret,1c1006e6-fb6a-4906-b020-9f265fefafc7,Send Money,0,1.0,0.0,1,1217.0,1217,1217,True,1,1.0,6
2025-01-21 21:59:50,25475914834,254796755527,7533,Mombasa,0cf060c8-beec-4214-a6e8-7fc7c92ab621,Send Money,0,1.0,0.0,1,7533.0,7533,7533,True,1,1.0,21
2025-01-22 23:58:15,25475967894,254752258237,8617,Nakuru,5b687d80-04ec-4de1-bbf1-b92b24d4a665,Send Money,0,1.0,0.0,1,8617.0,8617,8617,True,1,1.0,23
2025-03-29 14:51:00,25476012897,254711457874,1170,Eldoret,915ca607-e158-4e9b-a056-8ad9f8880471,Send Money,0,1.0,0.0,1,1170.0,1170,1170,True,1,1.0,14
2025-03-29 13:49:00,25476142421,25478099588,9360,Mombasa,0bbf2397-3654-4436-96b9-91d72365b56f,Send Money,0,1.0,0.0,1,9360.0,9360,9360,True,1,1.0,13
2025-01-28 12:31:53,25476232363,254784094158,8804,Mombasa,88eeb9ba-b2e6-4588-96f1-b63413781ed3,Send Money,0,1.0,0.0,1,8804.0,8804,8804,True,1,1.0,12
2025-03-29 09:39:00,25476368185,25477948503,2607,Kisumu,a93d3913-739e-4748-bce7-2435e139f51f,Send Money,0,1.0,0.0,1,2607.0,2607,2607,True,1,1.0,9
2025-01-22 08:36:00,25476450934,254796935301,4919,Nairobi,c90c51f1-a4d8-48eb-a897-2d5dddfa27f0,Send Money,0,1.0,0.0,1,4919.0,4919,4919,True,1,1.0,8
2025-01-31 02:53:10,25476452802,254735436750,3207,Nakuru,c82fe9e2-93ba-4931-8e9e-e2c1ad1e203f,Send Money,0,1.0,0.0,1,3207.0,3207,3207,True,1,1.0,2
2025-02-15 16:39:46,25476474152,254714904347,3423,Mombasa,98660793-faa3-4a03-b760-7096b933434e,Buy Goods,0,1.0,0.0,1,3423.0,3423,3423,True,1,0.0,16
2025-03-12 01:26:09,25476518248,254718005104,1066,Nakuru,d7a78284-71df-426f-b650-e6dc92245a68,Pay Bill,0,1.0,0.0,1,1066.0,1066,1066,True,1,0.0,1
2025-02-12 08:13:22,25476582227,254714274816,554,Eldoret,21627404-54af-48f9-b8ab-f5725a870fcc,Send Money,0,1.0,0.0,1,554.0,554,554,True,1,1.0,8
2025-03-04 06:27:51,25476693296,254772610236,6955,Mombasa,6f957855-3c16-4503-accc-d1a75a38f40f,Send Money,0,1.0,0.0,1,6955.0,6955,6955,True,1,1.0,6
2025-01-22 12:11:05,25476745064,254750766042,3722,Kisumu,8f9385d8-8c5c-41db-a862-a96ed30193fe,Send Money,0,1.0,0.0,1,3722.0,3722,3722,True,1,1.0,12
2025-03-29 15:27:00,25476913128,254789034493,3377,Eldoret,79f0c760-65f5-4ad3-9f18-8fd9a11d0d38,Send Money,0,1.0,0.0,1,3377.0,3377,3377,True,1,1.0,15
2025-02-05 09:56:18,25476995019,254768212626,2155,Mombasa,4c375472-65d8-4cb6-a198-66c2838fd38d,Withdraw,0,1.0,0.0,1,2155.0,2155,2155,True,1,0.0,9
2025-02-03 06:36:36,25477227580,254766457122,3026,Nairobi,7728184f-00d5-4116-bbc4-35ecdc71d6fa,Pay Bill,0,1.0,0.0,1,3026.0,3026,3026,True,1,0.0,6
2025-02-24 04:32:59,25477358591,254718779332,6883,Nairobi,e3de6a7a-c389-44c6-bdeb-62f1da8da018,Pay Bill,0,1.0,0.0,1,6883.0,6883,6883,True,1,0.0,4
2025-03-11 06:18:01,25477582739,254784278584,6021,Mombasa,525061bb-502d-4a27-ac38-4906896facac,Pay Bill,0,1.0,0.0,1,6021.0,6021,6021,True,1,0.0,6
2025-02-18 09:50:47,25477589031,254742235884,6333,Nairobi,a0100c8c-af58-42a4-bda6-7f20811d974f,Withdraw,0,1.0,0.0,1,6333.0,6333,6333,True,1,0.0,9
2025-02-05 00:59:39,25477693195,254727186238,6092,Eldoret,dc91cd97-012a-453a-aeef-495b3e0b98a7,Withdraw,0,1.0,0.0,1,6092.0,6092,6092,True,1,0.0,0
2025-02-19 12:13:31,25477794972,25472415542,7459,Mombasa,a799a9e8-c046-4fed-a51c-d63daf57cdfa,Send Money,0,1.0,0.0,1,7459.0,7459,7459,True,1,1.0,12
2025-03-01 15:41:36,25477807069,254797663106,175,Eldoret,fd69ee17-5e5b-4a3f-af12-7eaaf72a8044,Send Money,0,1.0,0.0,1,175.0,175,175,True,1,1.0,15
2025-01-30 14:41:23,25477833080,254794002043,650,Eldoret,d5df42dc-094d-4e40-a3a5-7bfdc07ae649,Send Money,0,1.0,0.0,1,650.0,650,650,True,1,1.0,14
2025-02-04 10:22:37,25478038001,25479418056,8477,Eldoret,77b7c1b6-7d19-47bd-bca7-918d8d71bd1c,Withdraw,0,1.0,0.0,1,8477.0,8477,8477,True,1,0.0,10
